#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT;302;Found;;3
2;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/;302;Found;;3
3;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/mainMenu;302;Found;;4
4;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/login;200;OK;text/html;41
5;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;200;OK;application/javascript;10
6;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;200;OK;text/css;18
7;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;200;OK;text/css;14
8;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/style.css;200;OK;text/css;13
9;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;200;OK;application/javascript;9
10;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;200;OK;application/javascript;10
11;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/script.js;200;OK;application/javascript;8
12;POST;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/j_security_check;302;Found;;15
13;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/mainMenu;200;OK;text/html;26
14;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/dwr/;302;Found;;479
15;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/dwr/index.html;200;OK;text/html;23
16;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/dwr/test/UserManager;200;OK;text/html;36
17;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/dwr/interface/UserManager.js;200;OK;text/plain;16
18;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/dwr/engine.js;200;OK;text/javascript;17
19;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/dwr/util.js;200;OK;text/javascript;18
