127.0.0.1 - - [22/Oct/2013:22:10:48 +0800] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [22/Oct/2013:22:12:30 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:31 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:31 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:37 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:12:38 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:12:40 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
127.0.0.1 - - [22/Oct/2013:22:12:40 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16529
127.0.0.1 - - [22/Oct/2013:22:12:41 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/style.css HTTP/1.1" 200 4506
127.0.0.1 - - [22/Oct/2013:22:12:41 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25748
127.0.0.1 - - [22/Oct/2013:22:12:41 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1949
127.0.0.1 - - [22/Oct/2013:22:12:41 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1511
127.0.0.1 - - [22/Oct/2013:22:12:43 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:44 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 200 4718
127.0.0.1 - - [22/Oct/2013:22:12:44 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:44 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:44 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:44 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:12:44 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:12:45 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
127.0.0.1 - - [22/Oct/2013:22:12:45 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16529
127.0.0.1 - - [22/Oct/2013:22:12:45 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/style.css HTTP/1.1" 200 4506
127.0.0.1 - - [22/Oct/2013:22:12:45 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25748
127.0.0.1 - - [22/Oct/2013:22:12:45 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1949
127.0.0.1 - - [22/Oct/2013:22:12:45 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1511
127.0.0.1 - - [22/Oct/2013:22:12:46 +0800] "POST /struts2-demo-web-1.0-SNAPSHOT/j_security_check HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:46 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 200 4718
127.0.0.1 - - [22/Oct/2013:22:12:47 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/logout HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:47 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:48 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:12:48 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:48 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/ HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:48 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:48 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:12:48 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:12:49 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
127.0.0.1 - - [22/Oct/2013:22:12:49 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css HTTP/1.1" 200 16529
127.0.0.1 - - [22/Oct/2013:22:12:49 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/style.css HTTP/1.1" 200 4506
127.0.0.1 - - [22/Oct/2013:22:12:49 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js HTTP/1.1" 200 25748
127.0.0.1 - - [22/Oct/2013:22:12:49 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js HTTP/1.1" 200 1949
127.0.0.1 - - [22/Oct/2013:22:12:49 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/script.js HTTP/1.1" 200 1511
127.0.0.1 - - [22/Oct/2013:22:12:52 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/passwordHint?username=admin HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:52 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/mainMenu HTTP/1.1" 302 -
127.0.0.1 - - [22/Oct/2013:22:12:52 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/login HTTP/1.1" 200 5136
127.0.0.1 - - [22/Oct/2013:22:12:56 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/signup HTTP/1.1" 200 12222
127.0.0.1 - - [22/Oct/2013:22:12:56 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js HTTP/1.1" 200 93436
127.0.0.1 - - [22/Oct/2013:22:12:56 +0800] "GET /struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css HTTP/1.1" 200 101274
