#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT;302;Found;;4
2;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/;302;Found;;9
3;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/mainMenu;302;Found;;8
4;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/login;200;OK;text/html;33
5;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;200;OK;application/javascript;13
6;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;200;OK;text/css;14
7;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;200;OK;text/css;8
8;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/style.css;200;OK;text/css;10
9;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;200;OK;application/javascript;8
10;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;200;OK;application/javascript;12
11;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/script.js;200;OK;application/javascript;10
12;POST;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/j_security_check;302;Found;;16
13;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/mainMenu;200;OK;text/html;31
14;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/editUser?from=list;200;OK;text/html;421
15;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/struts/css_xhtml/validation.js;200;OK;application/javascript;8
16;POST;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/saveUser;302;Found;;1124
17;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/admin/users;200;OK;text/html;64
18;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/editUser?id=2&from=list;200;OK;text/html;936
19;POST;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/saveUser;302;Found;;141
20;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/admin/users;200;OK;text/html;96
