#;Method;URL;Response code;Response Message;Content Type;Duration
1;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT;302;Found;;6
2;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/;302;Found;;4
3;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/mainMenu;302;Found;;8
4;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/login;200;OK;text/html;50
5;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/jquery-1.8.2.min.js;200;OK;application/javascript;11
6;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-2.2.1.min.css;200;OK;text/css;15
7;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/lib/bootstrap-responsive-2.2.1.min.css;200;OK;text/css;10
8;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/styles/style.css;200;OK;text/css;6
9;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/bootstrap-2.2.1.min.js;200;OK;application/javascript;11
10;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/lib/plugins/jquery.cookie.js;200;OK;application/javascript;7
11;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/scripts/script.js;200;OK;application/javascript;6
12;POST;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/j_security_check;302;Found;;25
13;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/mainMenu;200;OK;text/html;41
14;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/uploadFile;200;OK;text/html;2555
15;GET;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/struts/css_xhtml/validation.js;200;OK;application/javascript;12
16;POST;http://localhost:8081/struts2-demo-web-1.0-SNAPSHOT/uploadFile!upload;200;OK;text/html;476
